speaker,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top1_prop,top2_prop,top3_prop,top4_prop,top5_prop,top6_prop,top7_prop,top8_prop,top9_prop,top10_prop,top11_prop,top12_prop,top13_prop,top14_prop,top15_prop
Andy,like,know,right,dont,well,guy,get,got,go,youre,one,thats,really,think,gon,0.012861488698063075,0.011513727906349878,0.008702683969348068,0.008394624359813623,0.00789402749432015,0.00789402749432015,0.00781701259193654,0.007008356116908622,0.006546266702606955,0.006546266702606955,0.006199699641880704,0.006122684739497093,0.005930147483538065,0.005891640032346259,0.0051599984597019526
Angela,dont,dwight,know,like,get,think,want,well,kevin,go,would,look,pam,one,need,0.016498273436500833,0.014196188770942576,0.012149891290446349,0.009719913032357079,0.008057296329453895,0.008057296329453895,0.00792940273692288,0.007545721959329838,0.007162041181736795,0.006778360404143752,0.006010998848957667,0.006010998848957667,0.005883105256426653,0.005627318071364624,0.00549942447883361
Darryl,know,got,man,dont,like,get,right,thats,mike,good,gon,one,go,youre,look,0.012206721623335448,0.011572606214331009,0.01125554850982879,0.01125554850982879,0.01125554850982879,0.01030437539632213,0.009036144578313253,0.008560558021559923,0.007609384908053266,0.007609384908053266,0.007609384908053266,0.007450856055802156,0.007292327203551046,0.006658211794546607,0.006499682942295497
Dwight,michael,know,jim,dont,get,like,go,one,youre,thats,right,come,let,good,well,0.009374337221633085,0.009204665959703075,0.00911983032873807,0.008547189819724283,0.00816542948038176,0.007232237539766702,0.007104984093319194,0.0066383881230116645,0.006532343584305408,0.006002120890774125,0.005832449628844115,0.005577942735949098,0.005577942735949098,0.005365853658536586,0.005365853658536586
Erin,andy,like,dont,know,get,really,sorry,think,go,michael,want,guy,thats,well,he,0.01606972626991693,0.014163148576875936,0.012801307367560943,0.010894729674519951,0.010486177311725452,0.009532888465204958,0.008171047255889963,0.007898679014026964,0.0076263107721639654,0.0072177584093694675,0.0072177584093694675,0.006945390167506469,0.006945390167506469,0.006264469562848972,0.006264469562848972
Holly,michael,know,dont,well,get,really,good,think,love,go,like,thats,gon,want,mean,0.022058823529411766,0.01586687306501548,0.01431888544891641,0.011996904024767802,0.011996904024767802,0.01044891640866873,0.010061919504643963,0.010061919504643963,0.008126934984520124,0.008126934984520124,0.007739938080495356,0.00696594427244582,0.006578947368421052,0.006191950464396285,0.006191950464396285
Jan,michael,know,dont,well,good,get,really,like,would,think,mean,youre,right,thats,go,0.04580152671755725,0.021374045801526718,0.014176663031624863,0.013522355507088331,0.010032715376226827,0.009378407851690295,0.008942202835332607,0.008724100327153763,0.007633587786259542,0.007633587786259542,0.007633587786259542,0.007415485278080698,0.00697928026172301,0.00697928026172301,0.006761177753544166
Jim,know,right,dont,dwight,thats,think,pam,really,well,go,michael,like,good,one,get,0.016994416120417577,0.012806506433600389,0.012260257344015538,0.011774702597717892,0.010530468560330178,0.01034838553046856,0.01001456664238893,0.01001456664238893,0.009498664724447681,0.008375819373634377,0.008345472201990774,0.008133042000485554,0.007617140082544307,0.007526098567613498,0.007283321194464676
Kelly,like,know,dont,ryan,god,get,youre,think,mean,guy,well,jim,michael,really,want,0.01868629671574179,0.013967534918837296,0.013967534918837296,0.01245753114382786,0.01189127972819932,0.009626274065685165,0.009248773121932804,0.008493771234428085,0.007927519818799546,0.007550018875047188,0.007172517931294828,0.006983767459418648,0.006795016987542469,0.006795016987542469,0.00660626651566629
Kevin,like,michael,dont,know,think,get,go,well,oscar,guy,really,one,kevin,thats,jim,0.013378770667676385,0.01123311876814338,0.009213681686229963,0.009213681686229963,0.008961252050990786,0.008835037233371198,0.007699103874794901,0.007320459421936135,0.007068029786696958,0.006815600151457781,0.006689385333838192,0.0065631705162186044,0.006436955698599016,0.006436955698599016,0.006184526063359838
