,speaker,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,season,top1_prop,top2_prop,top3_prop,top4_prop,top5_prop,top6_prop,top7_prop,top8_prop,top9_prop,top10_prop,top11_prop,top12_prop,top13_prop,top14_prop,top15_prop
0,Andy,like,dont,know,michael,tuna,guy,good,get,dwight,one,look,think,really,big,andy,3,0.0140625,0.01015625,0.01015625,0.009375,0.008984375,0.00859375,0.0078125,0.0078125,0.0078125,0.007421875,0.00703125,0.006640625,0.006640625,0.006640625,0.00625
1,Andy,like,angela,know,tuna,got,right,think,let,back,take,well,one,time,shes,gon,4,0.01599488163787588,0.010876519513755598,0.010876519513755598,0.010236724248240563,0.008957133717210493,0.008957133717210493,0.008317338451695458,0.007037747920665387,0.007037747920665387,0.007037747920665387,0.006397952655150352,0.006397952655150352,0.006397952655150352,0.006397952655150352,0.006397952655150352
2,Andy,like,thats,youre,know,dont,get,dwight,really,well,guy,see,angela,go,good,man,5,0.014177040110650069,0.011410788381742738,0.011065006915629323,0.011065006915629323,0.00933609958506224,0.008644536652835409,0.007607192254495159,0.006915629322268326,0.00656984785615491,0.006224066390041493,0.006224066390041493,0.005878284923928077,0.005878284923928077,0.005532503457814661,0.005532503457814661
3,Andy,like,erin,know,well,right,get,little,got,guy,would,dont,andy,day,want,youre,6,0.01399825021872266,0.01079031787693205,0.010498687664041995,0.010207057451151939,0.009040536599591718,0.009040536599591718,0.007874015748031496,0.007874015748031496,0.007290755322251386,0.007290755322251386,0.006707494896471274,0.006415864683581219,0.005540974044911053,0.005249343832020997,0.005249343832020997
4,Andy,like,right,know,go,well,one,think,dont,really,gon,guy,youre,got,thats,thing,7,0.015043996593812092,0.013340902639795628,0.01021856372409878,0.009367016747090548,0.008799318762418393,0.00823162077774624,0.00709622480840193,0.00709622480840193,0.006528526823729776,0.006244677831393698,0.006244677831393698,0.005676979846721544,0.005676979846721544,0.005676979846721544,0.005393130854385467
5,Andy,know,like,dont,guy,get,right,well,going,got,one,youre,think,want,go,really,8,0.01362322829228017,0.011971927893215908,0.009907802394385578,0.009632585661208202,0.009357368928030824,0.008256501995321316,0.008118893628732627,0.00784367689555525,0.007568460162377872,0.007293243429200495,0.007155635062611807,0.007018026696023119,0.006329984863079675,0.006329984863079675,0.005917159763313609
6,Andy,know,right,got,like,guy,get,go,well,dont,thats,time,erin,really,gon,good,9,0.011094829390831066,0.010676156583629894,0.009420138162026376,0.00921080175842579,0.008373456144023446,0.008373456144023446,0.007745446933221687,0.007745446933221687,0.007745446933221687,0.006908101318819342,0.006280092108017585,0.006280092108017585,0.006070755704416998,0.005861419300816412,0.005861419300816412
7,Angela,think,kevin,one,kit,really,gon,like,cat,stapler,thats,hold,safety,oscar,phyllis,dwight,1,0.04878048780487805,0.032520325203252036,0.024390243902439025,0.024390243902439025,0.016260162601626018,0.016260162601626018,0.016260162601626018,0.016260162601626018,0.016260162601626018,0.016260162601626018,0.016260162601626018,0.016260162601626018,0.016260162601626018,0.016260162601626018,0.016260162601626018
8,Angela,dont,go,know,think,well,get,thing,youre,one,dwight,pam,really,talk,yet,people,2,0.02050473186119874,0.01892744479495268,0.014195583596214511,0.014195583596214511,0.011041009463722398,0.011041009463722398,0.011041009463722398,0.00946372239747634,0.00946372239747634,0.00946372239747634,0.007886435331230283,0.007886435331230283,0.007886435331230283,0.007886435331230283,0.007886435331230283
9,Angela,pum,dont,dwight,like,party,know,get,thank,go,want,think,thats,back,michael,phyllis,3,0.02081727062451812,0.020046260601387818,0.013107170393215111,0.01156515034695451,0.01079414032382421,0.010023130300693909,0.008481110254433308,0.008481110254433308,0.007710100231303007,0.007710100231303007,0.007710100231303007,0.007710100231303007,0.006939090208172706,0.006939090208172706,0.006939090208172706
