speaker,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top1_prop,top2_prop,top3_prop,top4_prop,top5_prop,top6_prop,top7_prop,top8_prop,top9_prop,top10_prop,top11_prop,top12_prop,top13_prop,top14_prop,top15_prop
Andy,know,right,guy,well,got,go,one,thats,really,think,gon,going,good,want,erin,0.012202089454782893,0.009222984002611819,0.00836598106431603,0.00836598106431603,0.007427358798563499,0.00693764283382305,0.006570355860267711,0.00648873653281097,0.006284688214169115,0.006243878550440745,0.005468494939601698,0.0053868756121449556,0.005182827293503101,0.005182827293503101,0.00510120796604636
Angela,dwight,know,think,want,well,kevin,go,look,pam,one,oscar,need,party,god,cat,0.015236787920384352,0.013040494166094716,0.008647906657515443,0.00851063829787234,0.008098833218943034,0.007687028140013727,0.0072752230610844204,0.0064516129032258064,0.006314344543582704,0.0060398078242964994,0.005902539464653397,0.005902539464653397,0.005902539464653397,0.005765271105010295,0.0056280027453671925
Darryl,know,got,man,right,thats,mike,good,gon,one,go,look,come,jim,say,want,0.012989203778677462,0.012314439946018893,0.011977058029689609,0.009615384615384616,0.009109311740890687,0.008097165991902834,0.008097165991902834,0.008097165991902834,0.007928475033738192,0.00775978407557355,0.006916329284750338,0.006916329284750338,0.006072874493927126,0.005904183535762483,0.005904183535762483
Dwight,michael,know,jim,go,one,thats,right,come,let,well,good,dwight,got,going,need,0.009889249356751315,0.00971025841816758,0.009620762948875714,0.007495245553193869,0.0070030204720886,0.006331804452399597,0.006152813513815863,0.005884327105940262,0.005884327105940262,0.005660588432710594,0.005660588432710594,0.0055263452287727935,0.005145989484282358,0.004631390535854122,0.004631390535854122
Erin,andy,know,really,sorry,think,go,want,michael,thats,guy,he,well,dwight,say,got,0.01716114019778941,0.011634671320535195,0.010180337405468295,0.008726003490401396,0.008435136707388016,0.008144269924374637,0.007707969749854567,0.007707969749854567,0.007417102966841187,0.007417102966841187,0.006689936009307737,0.006689936009307737,0.005962769051774288,0.005526468877254218,0.005526468877254218
Holly,michael,know,well,really,good,think,love,go,thats,gon,mean,want,see,look,day,0.023582954075299957,0.01696317749275962,0.012825817128671908,0.011170872983036822,0.01075713694662805,0.01075713694662805,0.008688456764584195,0.008688456764584195,0.007447248655357882,0.00703351261894911,0.006619776582540339,0.006619776582540339,0.006206040546131568,0.006206040546131568,0.005792304509722797
Jan,michael,know,well,good,really,think,mean,right,thats,please,go,need,going,let,phone,0.0489853044086774,0.02285980872404945,0.014462327968276184,0.01073011429904362,0.009563797527408444,0.008164217401446234,0.008164217401446234,0.0074644273384651275,0.0074644273384651275,0.007231163984138092,0.007231163984138092,0.0067646372754840214,0.006298110566829951,0.006064847212502915,0.005831583858175881
Jim,know,right,dwight,thats,think,really,pam,well,go,michael,good,one,gon,going,got,0.018072094749411044,0.013618614257591893,0.012521379933520508,0.011198244425081485,0.011004614838480652,0.010649627263045794,0.010649627263045794,0.010101010101010102,0.0089069609836383,0.008874689385871494,0.008100171039468165,0.008003356246167747,0.007035208313163585,0.00664794913996192,0.006389776357827476
Kelly,know,ryan,god,think,mean,guy,well,jim,michael,really,want,going,look,gon,say,0.01519195237117635,0.013549579141859988,0.012933689180866351,0.009238349414904538,0.008622459453910901,0.008211866146581811,0.00780127283925272,0.007595976185588175,0.00739067953192363,0.00739067953192363,0.007185382878259084,0.006980086224594539,0.006569492917265448,0.006569492917265448,0.006364196263600903
Kevin,michael,know,think,go,well,oscar,guy,really,one,kevin,thats,jim,pam,look,got,0.011922304085733422,0.009778968519758876,0.009511051574012056,0.008171466845277964,0.007769591426657736,0.007501674480910918,0.007233757535164099,0.0070997990622906895,0.006965840589417281,0.006831882116543871,0.006831882116543871,0.006563965170797053,0.006563965170797053,0.006430006697923644,0.006162089752176825
Meredith,one,got,right,know,wait,take,way,want,guy,let,come,gon,jim,meredith,good,0.009868421052631578,0.009502923976608187,0.009137426900584795,0.008771929824561403,0.008771929824561403,0.008406432748538011,0.00804093567251462,0.007675438596491228,0.007309941520467836,0.006578947368421052,0.005482456140350877,0.005482456140350877,0.005482456140350877,0.005482456140350877,0.005116959064327485
Michael,know,well,go,right,going,good,thats,want,think,dwight,one,come,pam,let,guy,0.017248601631224898,0.010841978168198508,0.010176674962422689,0.010102752384003153,0.009043195426656481,0.008858388980607644,0.008365571791144074,0.007737229874578025,0.007638666436685312,0.006961042801172905,0.006529827760392282,0.006443584752236158,0.00579060197619693,0.005765961116723751,0.00547027080304561
Oscar,michael,know,thats,think,kevin,angela,right,go,one,well,good,say,guy,got,andy,0.014092953523238382,0.012743628185907047,0.009895052473763119,0.008995502248875561,0.008095952023988006,0.00719640179910045,0.007046476761619191,0.006746626686656672,0.006596701649175412,0.006446776611694153,0.006296851574212893,0.0061469265367316344,0.005997001499250375,0.005847076461769116,0.005547226386806597
Pam,michael,know,jim,really,think,one,well,go,thats,dwight,want,good,going,mean,right,0.01608695652173913,0.015043478260869565,0.013043478260869565,0.011173913043478262,0.010478260869565218,0.008434782608695653,0.008391304347826086,0.007739130434782609,0.007565217391304348,0.007217391304347826,0.0071304347826086955,0.007,0.006347826086956522,0.005826086956521739,0.0056956521739130435
Phyllis,michael,know,think,dwight,good,thats,bob,well,one,andy,mean,time,look,got,cant,0.018425460636515914,0.01675041876046901,0.011964584828906437,0.010289542952859537,0.00957166786312515,0.00933237616654702,0.008853792773390764,0.008614501076812634,0.008375209380234505,0.00765733429050012,0.007178750897343862,0.007178750897343862,0.006460875807609476,0.006460875807609476,0.006221584111031347
Ryan,know,michael,kelly,want,thats,guy,really,think,one,well,go,right,got,look,make,0.015059324612108306,0.011560693641618497,0.010495892911469426,0.010039549741405538,0.008670520231213872,0.00836629145117128,0.008214177061149984,0.007605719501064801,0.007301490721022209,0.007149376331000912,0.007149376331000912,0.0069972619409796166,0.0065409187709157286,0.006388804380894433,0.005932461210830545
Stanley,michael,know,want,go,got,thats,work,think,year,back,going,day,look,need,say,0.01235712079085573,0.01143033673154155,0.008341056533827619,0.008341056533827619,0.007723200494284831,0.0074142724745134385,0.007105344454742045,0.007105344454742045,0.007105344454742045,0.006796416434970652,0.006487488415199258,0.005869632375656472,0.005869632375656472,0.005560704355885079,0.005560704355885079
Toby,know,michael,well,really,think,look,going,right,gon,talk,cant,one,go,guy,want,0.021675977653631284,0.018547486033519554,0.013854748603351955,0.010949720670391062,0.00871508379888268,0.008044692737430168,0.007597765363128492,0.007597765363128492,0.006927374301675978,0.0067039106145251395,0.006480446927374301,0.006033519553072626,0.006033519553072626,0.006033519553072626,0.005810055865921788
