speaker,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top1_prop,top2_prop,top3_prop,top4_prop,top5_prop,top6_prop,top7_prop,top8_prop,top9_prop,top10_prop,top11_prop,top12_prop,top13_prop,top14_prop,top15_prop
andy,tuna,bernard,treble,andrew,blub,flag,erin,whoa,cornell,jessica,banjo,secretarys,ella,broccoli,cappella,0.00436029833620195,0.00263912794033276,0.0005163511187607573,0.0009179575444635686,0.0004589787722317843,0.0008032128514056225,0.006540447504302926,0.0035570854847963283,0.0019506597819850832,0.0009753298909925416,0.0004589787722317843,0.0004589787722317843,0.00034423407917383823,0.0006310958118187034,0.0005163511187607573
angela,pum,sprinkle,parum,phillip,senator,cat,pet,bandit,committee,caterer,amen,meowing,vet,davinci,esther,0.005104934770277935,0.0028360748723766306,0.0013235016071090943,0.0028360748723766306,0.005861221402911704,0.007751937984496124,0.0011344299489506524,0.0007562866326337682,0.0018907165815844206,0.0005672149744753262,0.0005672149744753262,0.0005672149744753262,0.0005672149744753262,0.0005672149744753262,0.0005672149744753262
darryl,mike,val,yall,justine,jada,beanie,dot,tacos,da,doo,brandon,boo,yum,baler,nah,0.011597004107272288,0.004832085044696787,0.002899251026818072,0.0016912297656438754,0.0019328340178787146,0.0012080212611741967,0.0024160425223483935,0.001449625513409036,0.0031408552790529115,0.0016912297656438754,0.0009664170089393573,0.0016912297656438754,0.001449625513409036,0.0012080212611741967,0.0016912297656438754
dwight,schrute,mose,beet,deputy,sensei,ha,farm,schrutes,assistant,hay,sheriff,temp,regional,jim,monkey,0.003481894150417827,0.0015744217027976262,0.0012110936175366357,0.00039360542569940655,0.0005147147874530701,0.0022708005328811918,0.0015441443623592105,0.0003330507448225748,0.0011505389366598037,0.0007266561705219813,0.0006055468087683178,0.0007872108513988131,0.0010597069153445561,0.013019256388518833,0.0005752694683299019
erin,irene,guh,louse,jlp,pete,ant,jessica,oink,aggenda,busybody,foth,lazybones,gabe,foster,hannon,0.0010311404413281089,0.0016498247061249743,0.0022685089709218397,0.0008249123530624871,0.004537017941843679,0.0014435966178593523,0.001856052794390596,0.0008249123530624871,0.0006186842647968653,0.0006186842647968653,0.0006186842647968653,0.0006186842647968653,0.006599298824499897,0.0012373685295937306,0.0008249123530624871
holly,ethic,aj,wikka,dilemma,extry,melove,pantomime,ethical,binder,yoga,yoda,waaa,baker,mikanos,longdistance,0.004283965728274173,0.0036719706242350062,0.0018359853121175031,0.0018359853121175031,0.0012239902080783353,0.0012239902080783353,0.0012239902080783353,0.0024479804161566705,0.0018359853121175031,0.0024479804161566705,0.0012239902080783353,0.0012239902080783353,0.0012239902080783353,0.0012239902080783353,0.0012239902080783353
jan,astrid,josh,christian,hunter,craig,babe,par,lester,spraypainted,pittsfield,tsunami,stamford,speakerphone,brenda,pattern,0.003447087211306446,0.003447087211306446,0.001723543605653223,0.002068252326783868,0.001034126163391934,0.0031023784901758012,0.0006894174422612892,0.0006894174422612892,0.0006894174422612892,0.0006894174422612892,0.0006894174422612892,0.002412961047914512,0.002068252326783868,0.001723543605653223,0.001034126163391934
jim,awimowheh,rundown,assistant,halpert,no,prank,karen,agent,alright,whoa,cece,scarn,beesley,beesly,yup,0.0013104251601630751,0.0005824111822947001,0.0013104251601630751,0.0014074936905455252,0.00339739856338575,0.0008736167734420501,0.0016501650165016502,0.0006309454474859251,0.006649194331197826,0.0023296447291788003,0.0012618908949718502,0.00048534265191225003,0.00038827412152980003,0.000533876917103475,0.0013589594253543
kelly,cuz,ruff,bridesmaid,fashion,blah,dot,fedora,ravi,psycho,lamar,squirm,lc,spree,carrie,tweet,0.0014273479874393378,0.0014273479874393378,0.0014273479874393378,0.0028546959748786756,0.002569226377390808,0.002569226377390808,0.0008564087924636027,0.0014273479874393378,0.0008564087924636027,0.0008564087924636027,0.0005709391949757351,0.0005709391949757351,0.0005709391949757351,0.0005709391949757351,0.0005709391949757351
kevin,lynn,shred,phillip,maze,stacy,warn,scrantonicity,fluke,cress,dunhduhnadah,ma,knead,ciao,snicker,band,0.001499531396438613,0.0013120899718837863,0.0016869728209934396,0.0009372071227741331,0.0013120899718837863,0.0018744142455482662,0.0007497656982193065,0.0005623242736644799,0.0005623242736644799,0.0005623242736644799,0.0007497656982193065,0.0005623242736644799,0.0005623242736644799,0.0011246485473289597,0.0018744142455482662
meredith,jakey,van,manuel,nark,primer,aint,louse,alcoholic,cigar,gentle,vagina,alley,uterus,thinkin,pelvis,0.002523977788995457,0.004543160020191822,0.001514386673397274,0.0010095911155981827,0.0010095911155981827,0.004038364462392731,0.0020191822311963654,0.001514386673397274,0.0010095911155981827,0.0010095911155981827,0.001514386673397274,0.0010095911155981827,0.0010095911155981827,0.0010095911155981827,0.0010095911155981827
michael,googi,jan,blah,bop,carol,david,alright,ho,roast,dundie,electric,mikanos,hindu,heart,rabies,0.00028735116107828524,0.0042384296259047076,0.0005926617697239632,0.00021551337080871392,0.0006465401124261418,0.0017061475189023186,0.004579659129685171,0.0006465401124261418,0.00028735116107828524,0.0003412295037804637,0.00023347281837610674,0.00021551337080871392,0.00016163502810653544,0.0014187963578240334,0.00035918895134785654
oscar,matt,senator,gerald,hardwood,blake,premature,le,weirdo,debt,ab,angelas,whoa,unusually,tasteless,agrarian,0.0012597102666386732,0.003569179088809574,0.0006298551333193366,0.0006298551333193366,0.0010497585555322277,0.0006298551333193366,0.0006298551333193366,0.0010497585555322277,0.000839806844425782,0.000839806844425782,0.0020995171110644553,0.003779130799916019,0.000419903422212891,0.000419903422212891,0.000419903422212891
pam,mural,cece,brian,jim,roy,voicemail,chore,terrace,gosh,kaya,coke,latch,message,ceces,paint,0.0012055837563451778,0.0019035532994923859,0.0005076142131979696,0.019098984771573603,0.0020304568527918783,0.0007614213197969543,0.0006345177664974619,0.00031725888324873094,0.0012690355329949238,0.0002538071065989848,0.00031725888324873094,0.00031725888324873094,0.0013959390862944162,0.00038071065989847715,0.001649746192893401
phyllis,bob,ho,client,vance,birdhouse,afghani,knit,furnace,morocco,lettuce,sic,dear,personality,perfume,bobby,0.012382864792503346,0.0033467202141900937,0.006693440428380187,0.0033467202141900937,0.0006693440428380187,0.0006693440428380187,0.001004016064257028,0.0006693440428380187,0.0006693440428380187,0.0006693440428380187,0.0006693440428380187,0.001004016064257028,0.001004016064257028,0.001004016064257028,0.0006693440428380187
ryan,wuphf,yam,thailand,pesto,melanoma,silicon,drake,temp,powerpoint,woof,ravi,chiklis,localize,hiphop,tnt,0.0022099447513812156,0.0008839779005524862,0.0008839779005524862,0.0008839779005524862,0.0006629834254143647,0.0006629834254143647,0.0008839779005524862,0.0013259668508287293,0.0008839779005524862,0.0008839779005524862,0.0008839779005524862,0.0004419889502762431,0.0004419889502762431,0.0004419889502762431,0.0004419889502762431
stanley,wallpaper,flashback,pretzel,licorice,florida,chewy,collard,woozy,maradona,dumpling,brandy,toaster,terri,y2k,heh,0.0012897678417884782,0.0025795356835769563,0.0025795356835769563,0.0012897678417884782,0.004729148753224419,0.0008598452278589854,0.0008598452278589854,0.0008598452278589854,0.0008598452278589854,0.0008598452278589854,0.0008598452278589854,0.0030094582975064487,0.0012897678417884782,0.0012897678417884782,0.0025795356835769563
toby,costa,rica,flenderson,chad,radon,dem,flendermen,hr,smores,disclose,exwife,custody,bogart,kimosabe,bishop,0.0035783994795055302,0.0032530904359141183,0.002277163305139883,0.0016265452179570592,0.0013012361743656475,0.0009759271307742355,0.0009759271307742355,0.003903708523096942,0.0009759271307742355,0.0009759271307742355,0.0013012361743656475,0.0006506180871828237,0.0006506180871828237,0.0006506180871828237,0.0006506180871828237
